Acquisition Type,AMI Category,Bathrooms,Bedrooms,Block GeoID,Built Year,Organizational Sponsor/Owner,Property/Project Name,Restriction Type,Square Feet,Tenure Type,Unit ID,Unit Type,Year Unit Became Permanently Affordable
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2627,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2628,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2629,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2630,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2631,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2632,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2633,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2634,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2635,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2636,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2637,,1999
LTRA,60% AMI,1,3,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,1055,Rental,2638,,1999
LTRA,60% AMI,1,3,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,1055,Rental,2639,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2640,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2641,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2642,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2643,,1999
LTRA,60% AMI,1,2,80130122033,1982,Boulder Housing Partners,Diagonal Court Apartments,Likely to Remain Affordable,848,Rental,2644,,1999
