Property Name,Organizational Sponsor/Owner,Address,Website
Alvarado Village,Hudson Real Estate - St. Thomas Acquinis Housing Corp,3380 Moorhead,http://www.hremanagement.com/
Chase House,Attention Homes,3080 Broadway,http://www.attentionhomes.org/
Chrysalis House,Boulder Housing Coalition,16th St,http://boulderhousingcoalition.org/
Ingram Court,Boulder Housing Coalition,4662 Ingram Ct,http://boulderhousingcoalition.org/
Masala House,Boulder Housing Coalition,744 Marine St,http://boulderhousingcoalition.org/
North Haven/Ostara,Boulder Housing Coalition,9th St & North St,http://boulderhousingcoalition.org/
Arapahoe Court,Boulder Housing Partners,951 Arapahoe,https://boulderhousing.org/property/arapahoe-court
Arapahoe East Apartments,Boulder Housing Partners,4610 Arapahoe,https://boulderhousing.org/property/arapahoe-east
Bridgewalk Apartments,Boulder Housing Partners,602-698 Walden Circle,https://bridgewalkboulder.com/
Broadway East Apartments,Boulder Housing Partners,3110-3160 Broadway,https://boulderhousing.org/property/broadway-east
Broadway West Apartments,Boulder Housing Partners,3120 Broadway,https://boulderhousing.org/property/broadway-west
Canyon Pointe Apartments,Boulder Housing Partners,700 Walnut,https://boulderhousing.org/property/canyon-pointe
Cedar Apartments,Boulder Housing Partners,1239 Cedar Ave,https://boulderhousing.org/property/cedar
Dakota Ridge Apartments,Boulder Housing Partners,4912 10th  St,https://boulderhousing.org/property/dakota-ridge
Diagonal Court Apartments,Boulder Housing Partners,3265 30th  Street,https://boulderhousing.org/property/diagonal-court
Foothills Apartments,Boulder Housing Partners,700 Silver Lake,https://boulderhousing.org/property/foothills-community
Glen Willow,Boulder Housing Partners,301 Pearl Street,https://boulderhousing.org/property/glen-willow
Hayden Place Apartments,Boulder Housing Partners,3405 Hayden Place,https://boulderhousing.org/property/hayden-place
High Mar Apartments,Boulder Housing Partners,4990 Moorhead Ave.,https://boulderhousing.org/property/high-mar
Holiday Neighborhood Apartments,Boulder Housing Partners,1323 Yellow Pine Ave.,https://boulderhousing.org/property/holiday-neighborhood
Iris/Hawthorn,Boulder Housing Partners,1650 Iris Ave.,https://boulderhousing.org/property/irishawthorn
Kalmia,Boulder Housing Partners,3502 Nottingham Court,https://boulderhousing.org/property/kalmia
Lee Hill: A Housing First Community,Boulder Housing Partners,1175 Lee Hill Drive,https://boulderhousing.org/property/lee-hill-housing-first-community
Madison,Boulder Housing Partners,1130 35th  Street,https://boulderhousing.org/property/madison
Manhattan,Boulder Housing Partners,660 Manhattan Drive,https://boulderhousing.org/property/manhattan
Midtown Apartments,Boulder Housing Partners,837 20th,https://boulderhousing.org/property/midtown
