Date,Program,Provider,Attendance
10/1/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,120
10/2/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
10/3/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
10/4/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
10/5/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
10/6/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,147
10/7/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,130
10/8/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,151
10/9/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
10/10/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/11/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
10/12/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,133
10/13/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
10/14/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
10/15/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/16/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/17/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,152
10/18/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
10/19/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
10/20/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
10/21/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
10/22/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,139
10/23/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
10/24/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,149
10/25/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/26/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,153
10/27/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
10/28/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/29/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
10/30/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
10/31/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,135
11/1/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,136
11/2/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,131
11/3/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
11/4/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,132
11/5/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
11/6/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,144
11/7/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,148
11/8/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,140
11/9/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,137
11/10/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,145
11/11/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,129
11/12/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,142
11/13/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
11/14/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,141
11/15/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,146
11/16/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
11/17/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,143
11/18/2017,Housing-Focused Shelter,Boulder Shelter for the Homeless,154
