id,area_code,year,household_type_id,household_type_description,age_group_id,age_group_description,total_households
1,0,2010,0,All Households,0,Total,1981383
2,0,2010,0,All Households,1,18-24,112758
3,0,2010,0,All Households,2,25-44,724528
4,0,2010,0,All Households,3,45-64,785631
5,0,2010,0,All Households,4,65 & Over,358466
6,0,2010,1,One adult with no children,0,Total,566378
7,0,2010,1,One adult with no children,1,18-24,32617
8,0,2010,1,One adult with no children,2,25-44,156959
9,0,2010,1,One adult with no children,3,45-64,218328
10,0,2010,1,One adult with no children,4,65 & Over,158474
11,0,2010,2,One adult with children,0,Total,101177
12,0,2010,2,One adult with children,1,18-24,8312
13,0,2010,2,One adult with children,2,25-44,64942
14,0,2010,2,One adult with children,3,45-64,26991
15,0,2010,2,One adult with children,4,65 & Over,932
16,0,2010,3,More than one adult with no children,0,Total,781371
17,0,2010,3,More than one adult with no children,1,18-24,51991
18,0,2010,3,More than one adult with no children,2,25-44,169142
19,0,2010,3,More than one adult with no children,3,45-64,371323
20,0,2010,3,More than one adult with no children,4,65 & Over,188915
21,0,2010,4,More than one adult with children,0,Total,532457
22,0,2010,4,More than one adult with children,1,18-24,19838
23,0,2010,4,More than one adult with children,2,25-44,333485
24,0,2010,4,More than one adult with children,3,45-64,168989
25,0,2010,4,More than one adult with children,4,65 & Over,10145
26,0,2011,0,All Households,0,Total,2002474
27,0,2011,0,All Households,1,18-24,110559
28,0,2011,0,All Households,2,25-44,730598
29,0,2011,0,All Households,3,45-64,791586
30,0,2011,0,All Households,4,65 & Over,369731
31,0,2011,1,One adult with no children,0,Total,570634
32,0,2011,1,One adult with no children,1,18-24,31786
33,0,2011,1,One adult with no children,2,25-44,157347
34,0,2011,1,One adult with no children,3,45-64,218722
35,0,2011,1,One adult with no children,4,65 & Over,162779
36,0,2011,2,One adult with children,0,Total,100473
37,0,2011,2,One adult with children,1,18-24,7697
38,0,2011,2,One adult with children,2,25-44,64739
39,0,2011,2,One adult with children,3,45-64,27122
40,0,2011,2,One adult with children,4,65 & Over,915
41,0,2011,3,More than one adult with no children,0,Total,795031
42,0,2011,3,More than one adult with no children,1,18-24,52094
43,0,2011,3,More than one adult with no children,2,25-44,173877
44,0,2011,3,More than one adult with no children,3,45-64,373673
45,0,2011,3,More than one adult with no children,4,65 & Over,195387
46,0,2011,4,More than one adult with children,0,Total,536336
47,0,2011,4,More than one adult with children,1,18-24,18982
48,0,2011,4,More than one adult with children,2,25-44,334635
49,0,2011,4,More than one adult with children,3,45-64,172069
50,0,2011,4,More than one adult with children,4,65 & Over,10650
51,0,2012,0,All Households,0,Total,2025655
52,0,2012,0,All Households,1,18-24,108408
53,0,2012,0,All Households,2,25-44,736136
54,0,2012,0,All Households,3,45-64,790344
55,0,2012,0,All Households,4,65 & Over,390767
56,0,2012,1,One adult with no children,0,Total,576958
57,0,2012,1,One adult with no children,1,18-24,30961
58,0,2012,1,One adult with no children,2,25-44,157570
59,0,2012,1,One adult with no children,3,45-64,217111
60,0,2012,1,One adult with no children,4,65 & Over,171316
61,0,2012,2,One adult with children,0,Total,99448
62,0,2012,2,One adult with children,1,18-24,7072
63,0,2012,2,One adult with children,2,25-44,64448
64,0,2012,2,One adult with children,3,45-64,27005
65,0,2012,2,One adult with children,4,65 & Over,923
66,0,2012,3,More than one adult with no children,0,Total,810547
67,0,2012,3,More than one adult with no children,1,18-24,52245
68,0,2012,3,More than one adult with no children,2,25-44,178614
69,0,2012,3,More than one adult with no children,3,45-64,372607
70,0,2012,3,More than one adult with no children,4,65 & Over,207081
71,0,2012,4,More than one adult with children,0,Total,538702
72,0,2012,4,More than one adult with children,1,18-24,18130
73,0,2012,4,More than one adult with children,2,25-44,335504
74,0,2012,4,More than one adult with children,3,45-64,173621
75,0,2012,4,More than one adult with children,4,65 & Over,11447
76,0,2013,0,All Households,0,Total,2047633
77,0,2013,0,All Households,1,18-24,106642
78,0,2013,0,All Households,2,25-44,741130
79,0,2013,0,All Households,3,45-64,790730
80,0,2013,0,All Households,4,65 & Over,409131
81,0,2013,1,One adult with no children,0,Total,582445
82,0,2013,1,One adult with no children,1,18-24,30261
83,0,2013,1,One adult with no children,2,25-44,157640
84,0,2013,1,One adult with no children,3,45-64,215940
85,0,2013,1,One adult with no children,4,65 & Over,178604
86,0,2013,2,One adult with children,0,Total,98409
87,0,2013,2,One adult with children,1,18-24,6459
88,0,2013,2,One adult with children,2,25-44,64088
89,0,2013,2,One adult with children,3,45-64,26947
90,0,2013,2,One adult with children,4,65 & Over,915
91,0,2013,3,More than one adult with no children,0,Total,825621
92,0,2013,3,More than one adult with no children,1,18-24,52590
93,0,2013,3,More than one adult with no children,2,25-44,183324
94,0,2013,3,More than one adult with no children,3,45-64,372288
95,0,2013,3,More than one adult with no children,4,65 & Over,217419
96,0,2013,4,More than one adult with children,0,Total,541158
97,0,2013,4,More than one adult with children,1,18-24,17332
98,0,2013,4,More than one adult with children,2,25-44,336078
99,0,2013,4,More than one adult with children,3,45-64,175555
100,0,2013,4,More than one adult with children,4,65 & Over,12193
101,0,2014,0,All Households,0,Total,2070135
102,0,2014,0,All Households,1,18-24,104870
103,0,2014,0,All Households,2,25-44,744938
104,0,2014,0,All Households,3,45-64,793660
105,0,2014,0,All Households,4,65 & Over,426667
106,0,2014,1,One adult with no children,0,Total,587785
107,0,2014,1,One adult with no children,1,18-24,29512
108,0,2014,1,One adult with no children,2,25-44,157395
109,0,2014,1,One adult with no children,3,45-64,215431
110,0,2014,1,One adult with no children,4,65 & Over,185447
111,0,2014,2,One adult with children,0,Total,97285
112,0,2014,2,One adult with children,1,18-24,5817
113,0,2014,2,One adult with children,2,25-44,63605
114,0,2014,2,One adult with children,3,45-64,26965
115,0,2014,2,One adult with children,4,65 & Over,898
116,0,2014,3,More than one adult with no children,0,Total,841448
117,0,2014,3,More than one adult with no children,1,18-24,53033
118,0,2014,3,More than one adult with no children,2,25-44,187860
119,0,2014,3,More than one adult with no children,3,45-64,373169
120,0,2014,3,More than one adult with no children,4,65 & Over,227386
121,0,2014,4,More than one adult with children,0,Total,543617
122,0,2014,4,More than one adult with children,1,18-24,16508
123,0,2014,4,More than one adult with children,2,25-44,336078
124,0,2014,4,More than one adult with children,3,45-64,178095
125,0,2014,4,More than one adult with children,4,65 & Over,12936
126,0,2015,0,All Households,0,Total,2099609
127,0,2015,0,All Households,1,18-24,102887
128,0,2015,0,All Households,2,25-44,751300
129,0,2015,0,All Households,3,45-64,801111
130,0,2015,0,All Households,4,65 & Over,444311
131,0,2015,1,One adult with no children,0,Total,594686
132,0,2015,1,One adult with no children,1,18-24,28695
133,0,2015,1,One adult with no children,2,25-44,157597
134,0,2015,1,One adult with no children,3,45-64,216138
135,0,2015,1,One adult with no children,4,65 & Over,192256
136,0,2015,2,One adult with children,0,Total,96506
137,0,2015,2,One adult with children,1,18-24,5141
138,0,2015,2,One adult with children,2,25-44,63334
139,0,2015,2,One adult with children,3,45-64,27150
140,0,2015,2,One adult with children,4,65 & Over,881
141,0,2015,3,More than one adult with no children,0,Total,860136
142,0,2015,3,More than one adult with no children,1,18-24,53419
143,0,2015,3,More than one adult with no children,2,25-44,193103
144,0,2015,3,More than one adult with no children,3,45-64,376139
145,0,2015,3,More than one adult with no children,4,65 & Over,237475
146,0,2015,4,More than one adult with children,0,Total,548281
147,0,2015,4,More than one adult with children,1,18-24,15632
148,0,2015,4,More than one adult with children,2,25-44,337266
149,0,2015,4,More than one adult with children,3,45-64,181684
150,0,2015,4,More than one adult with children,4,65 & Over,13699
151,0,2016,0,All Households,0,Total,2124582
152,0,2016,0,All Households,1,18-24,100596
153,0,2016,0,All Households,2,25-44,757494
154,0,2016,0,All Households,3,45-64,805390
155,0,2016,0,All Households,4,65 & Over,461102
156,0,2016,1,One adult with no children,0,Total,599937
157,0,2016,1,One adult with no children,1,18-24,27768
158,0,2016,1,One adult with no children,2,25-44,157668
159,0,2016,1,One adult with no children,3,45-64,215917
160,0,2016,1,One adult with no children,4,65 & Over,198584
161,0,2016,2,One adult with children,0,Total,95552
162,0,2016,2,One adult with children,1,18-24,4434
163,0,2016,2,One adult with children,2,25-44,63044
164,0,2016,2,One adult with children,3,45-64,27223
165,0,2016,2,One adult with children,4,65 & Over,851
166,0,2016,3,More than one adult with no children,0,Total,876987
167,0,2016,3,More than one adult with no children,1,18-24,53685
168,0,2016,3,More than one adult with no children,2,25-44,198380
