GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
08001007801,2000,78.01,"Adams County, Colorado",3758.0,33.76,956.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,175.0,113.0,11.82,18.31,0,0,0
08001007801,2001,78.01,"Adams County, Colorado",3758.0,33.76,966.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,194.0,117.0,12.11,20.08,0,0,0
08001007801,2002,78.01,"Adams County, Colorado",3758.0,33.76,976.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,83.0,58.0,5.94,8.5,1,0,0
08001007801,2003,78.01,"Adams County, Colorado",3758.0,33.76,986.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,127.0,99.0,10.04,12.88,1,0,0
08001007801,2004,78.01,"Adams County, Colorado",3758.0,33.76,996.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,131.0,107.0,10.74,13.15,0,0,0
08001007801,2005,78.01,"Adams County, Colorado",3261.45,47.14,1006.0,80.44,586.0,21351.0,160500.0,32.8,13.52,16.0,65.16,0.41,0.0,1.73,1.2,1.98,218.0,165.0,16.4,21.67,0,0,0
08001007801,2006,78.01,"Adams County, Colorado",3261.45,47.14,1016.0,80.44,586.0,21351.0,160500.0,32.8,13.52,16.0,65.16,0.41,0.0,1.73,1.2,1.98,226.0,171.0,16.83,22.24,0,0,0
08001007801,2007,78.01,"Adams County, Colorado",3261.45,47.14,1026.0,80.44,586.0,21351.0,160500.0,32.8,13.52,16.0,65.16,0.41,0.0,1.73,1.2,1.98,171.0,122.0,11.89,16.67,1,0,0
08001007801,2008,78.01,"Adams County, Colorado",3261.45,47.14,1036.0,80.44,586.0,21351.0,160500.0,32.8,13.52,16.0,65.16,0.41,0.0,1.73,1.2,1.98,113.0,82.0,7.92,10.91,1,0,0
08001007801,2009,78.01,"Adams County, Colorado",3261.45,47.14,1046.0,80.44,586.0,21351.0,160500.0,32.8,13.52,16.0,65.16,0.41,0.0,1.73,1.2,1.98,166.0,127.0,12.14,15.87,1,0,0
08001007801,2010,78.01,"Adams County, Colorado",3732.0,44.59,1056.0,88.66,630.0,28000.0,151700.0,41.9,12.33,14.26,62.92,0.64,7.48,0.29,2.09,0.0,92.0,65.0,6.16,8.71,1,0,0
08001007801,2011,78.01,"Adams County, Colorado",3930.0,52.25,1073.0,86.89,665.0,22184.0,165800.0,44.7,10.13,12.39,49.75,0.2,26.06,0.0,0.71,0.76,135.0,114.0,10.62,12.58,1,0,0
08001007801,2012,78.01,"Adams County, Colorado",3930.0,52.25,1090.0,86.89,665.0,22184.0,165800.0,44.7,10.13,12.39,49.75,0.2,26.06,0.0,0.71,0.76,169.0,123.0,11.28,15.5,1,0,0
08001007801,2013,78.01,"Adams County, Colorado",3930.0,52.25,1107.0,86.89,665.0,22184.0,165800.0,44.7,10.13,12.39,49.75,0.2,26.06,0.0,0.71,0.76,,,,,0,0,0
08001007801,2014,78.01,"Adams County, Colorado",3930.0,52.25,1124.0,86.89,665.0,22184.0,165800.0,44.7,10.13,12.39,49.75,0.2,26.06,0.0,0.71,0.76,,,,,0,0,0
08001007801,2015,78.01,"Adams County, Colorado",3930.0,52.25,1141.0,86.89,665.0,22184.0,165800.0,44.7,10.13,12.39,49.75,0.2,26.06,0.0,0.71,0.76,,,,,0,0,0
08001007801,2016,78.01,"Adams County, Colorado",3930.0,52.25,1158.0,86.89,665.0,22184.0,165800.0,44.7,10.13,12.39,49.75,0.2,26.06,0.0,0.71,0.76,67.0,39.0,3.37,5.79,0,0,0
08001007802,2000,78.02,"Adams County, Colorado",4620.0,33.76,1301.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,208.0,133.0,10.22,15.99,0,0,0
08001007802,2001,78.02,"Adams County, Colorado",4620.0,33.76,1279.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,194.0,123.0,9.62,15.17,0,0,0
08001007802,2002,78.02,"Adams County, Colorado",4620.0,33.76,1257.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,111.0,78.0,6.2,8.83,1,0,0
08001007802,2003,78.02,"Adams County, Colorado",4620.0,33.76,1236.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,172.0,135.0,10.93,13.92,1,0,0
08001007802,2004,78.02,"Adams County, Colorado",4620.0,33.76,1214.0,83.16,527.0,25351.0,107400.0,26.3,18.32,14.85,61.85,0.93,2.1,0.1,1.78,0.07,134.0,100.0,8.24,11.04,0,0,0
08001007802,2005,78.02,"Adams County, Colorado",4009.55,47.14,1192.0,80.44,586.0,21351.0,160500.0,32.8,13.52,16.0,65.16,0.41,0.0,1.73,1.2,1.98,133.0,112.0,9.4,11.16,0,0,0
08001007802,2006,78.02,"Adams County, Colorado",4009.55,47.14,1170.0,80.44,586.0,21351.0,160500.0,32.8,13.52,16.0,65.16,0.41,0.0,1.73,1.2,1.98,158.0,130.0,11.11,13.5,0,0,0
